

           p           t          cp           h           m          mw         gam         rho
   2.0000E+00  1.1000E+04  1.9948E+00  7.2396E+03  0.0000E+00  3.8488E+01  1.2182E+00  8.4164E-02
   2.0000E+00  1.2000E+04  3.3361E+00  9.8552E+03  0.0000E+00  3.6836E+01  1.1821E+00  7.3839E-02
   2.0000E+00  1.3000E+04  5.2682E+00  1.4113E+04  0.0000E+00  3.4251E+01  1.1681E+00  6.3376E-02
   2.0000E+00  1.4000E+04  7.4741E+00  2.0492E+04  0.0000E+00  3.0902E+01  1.1660E+00  5.3094E-02
   2.0000E+00  1.5000E+04  8.9419E+00  2.8819E+04  0.0000E+00  2.7389E+01  1.1717E+00  4.3921E-02
   2.0000E+00  1.6000E+04  8.5255E+00  3.7727E+04  0.0000E+00  2.4458E+01  1.1851E+00  3.6771E-02
   2.0000E+00  1.7000E+04  6.5422E+00  4.5332E+04  0.0000E+00  2.2484E+01  1.2088E+00  3.1814E-02
   2.0000E+00  1.8000E+04  4.4294E+00  5.0780E+04  0.0000E+00  2.1341E+01  1.2470E+00  2.8519E-02
   2.0000E+00  1.9000E+04  2.9635E+00  5.4416E+04  0.0000E+00  2.0728E+01  1.3025E+00  2.6242E-02
   3.0000E+00  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  1.4414E+00
   3.0000E+00  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  7.2069E-01
   3.0000E+00  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  4.8046E-01
   3.0000E+00  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  3.6035E-01
   3.0000E+00  5.0000E+03  5.2042E-01  2.4466E+03  0.0000E+00  3.9948E+01  1.6665E+00  2.8828E-01
   3.0000E+00  6.0000E+03  5.2193E-01  2.9674E+03  0.0000E+00  3.9947E+01  1.6638E+00  2.4023E-01
   3.0000E+00  7.0000E+03  5.3327E-01  3.4941E+03  0.0000E+00  3.9942E+01  1.6446E+00  2.0588E-01
   3.0000E+00  8.0000E+03  5.8165E-01  4.0463E+03  0.0000E+00  3.9912E+01  1.5774E+00  1.8001E-01
   3.0000E+00  9.0000E+03  7.2919E-01  4.6901E+03  0.0000E+00  3.9798E+01  1.4490E+00  1.5955E-01
   3.0000E+00  1.0000E+04  1.0695E+00  5.5685E+03  0.0000E+00  3.9476E+01  1.3201E+00  1.4244E-01
   3.0000E+00  1.1000E+04  1.7261E+00  6.9343E+03  0.0000E+00  3.8748E+01  1.2364E+00  1.2710E-01
   3.0000E+00  1.2000E+04  2.8296E+00  9.1702E+03  0.0000E+00  3.7367E+01  1.1935E+00  1.1236E-01
   3.0000E+00  1.3000E+04  4.4549E+00  1.2770E+04  0.0000E+00  3.5152E+01  1.1749E+00  9.7565E-02
   3.0000E+00  1.4000E+04  6.4545E+00  1.8211E+04  0.0000E+00  3.2151E+01  1.1696E+00  8.2861E-02
   3.0000E+00  1.5000E+04  8.1840E+00  2.5595E+04  0.0000E+00  2.8775E+01  1.1726E+00  6.9217E-02
   3.0000E+00  1.6000E+04  8.5921E+00  3.4130E+04  0.0000E+00  2.5681E+01  1.1825E+00  5.7913E-02
   3.0000E+00  1.7000E+04  7.3196E+00  4.2201E+04  0.0000E+00  2.3367E+01  1.2007E+00  4.9596E-02
   3.0000E+00  1.8000E+04  5.3234E+00  4.8529E+04  0.0000E+00  2.1903E+01  1.2302E+00  4.3905E-02
   3.0000E+00  1.9000E+04  3.6394E+00  5.2962E+04  0.0000E+00  2.1065E+01  1.2742E+00  4.0004E-02
