

           p           t          cp           h           m          mw         gam         rho
   1.0000E+01  1.7000E+04  7.5734E+00  3.1637E+04  0.0000E+00  2.6938E+01  1.1908E+00  1.9058E-01
   1.0000E+01  1.8000E+04  7.1748E+00  3.9103E+04  0.0000E+00  2.4616E+01  1.2045E+00  1.6448E-01
   1.0000E+01  1.9000E+04  5.9329E+00  4.5701E+04  0.0000E+00  2.2929E+01  1.2257E+00  1.4514E-01
   1.1000E+01  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  5.2851E+00
   1.1000E+01  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  2.6425E+00
   1.1000E+01  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.7617E+00
   1.1000E+01  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.3213E+00
   1.1000E+01  5.0000E+03  5.2038E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  1.0570E+00
   1.1000E+01  6.0000E+03  5.2117E-01  2.9672E+03  0.0000E+00  3.9948E+01  1.6652E+00  8.8084E-01
   1.1000E+01  7.0000E+03  5.2709E-01  3.4911E+03  0.0000E+00  3.9945E+01  1.6550E+00  7.5495E-01
   1.1000E+01  8.0000E+03  5.5208E-01  4.0278E+03  0.0000E+00  3.9929E+01  1.6169E+00  6.6032E-01
   1.1000E+01  9.0000E+03  6.2983E-01  4.6127E+03  0.0000E+00  3.9869E+01  1.5272E+00  5.8607E-01
   1.1000E+01  1.0000E+04  8.0841E-01  5.3209E+03  0.0000E+00  3.9700E+01  1.4095E+00  5.2523E-01
   1.1000E+01  1.1000E+04  1.1531E+00  6.2848E+03  0.0000E+00  3.9312E+01  1.3084E+00  4.7281E-01
   1.1000E+01  1.2000E+04  1.7380E+00  7.7073E+03  0.0000E+00  3.8555E+01  1.2429E+00  4.2507E-01
   1.1000E+01  1.3000E+04  2.6290E+00  9.8632E+03  0.0000E+00  3.7274E+01  1.2067E+00  3.7933E-01
   1.1000E+01  1.4000E+04  3.8493E+00  1.3076E+04  0.0000E+00  3.5369E+01  1.1892E+00  3.3424E-01
   1.1000E+01  1.5000E+04  5.3071E+00  1.7644E+04  0.0000E+00  3.2882E+01  1.1828E+00  2.9002E-01
   1.1000E+01  1.6000E+04  6.6906E+00  2.3669E+04  0.0000E+00  3.0049E+01  1.1838E+00  2.4846E-01
   1.1000E+01  1.7000E+04  7.4650E+00  3.0821E+04  0.0000E+00  2.7260E+01  1.1907E+00  2.1215E-01
   1.1000E+01  1.8000E+04  7.2090E+00  3.8248E+04  0.0000E+00  2.4895E+01  1.2036E+00  1.8298E-01
   1.1000E+01  1.9000E+04  6.0770E+00  4.4941E+04  0.0000E+00  2.3143E+01  1.2235E+00  1.6115E-01
   1.2000E+01  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  5.7655E+00
   1.2000E+01  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  2.8828E+00
   1.2000E+01  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.9218E+00
   1.2000E+01  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.4414E+00
   1.2000E+01  5.0000E+03  5.2038E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  1.1531E+00
   1.2000E+01  6.0000E+03  5.2113E-01  2.9672E+03  0.0000E+00  3.9948E+01  1.6652E+00  9.6092E-01
   1.2000E+01  7.0000E+03  5.2680E-01  3.4910E+03  0.0000E+00  3.9945E+01  1.6554E+00  8.2359E-01
   1.2000E+01  8.0000E+03  5.5070E-01  4.0269E+03  0.0000E+00  3.9930E+01  1.6189E+00  7.2036E-01
   1.2000E+01  9.0000E+03  6.2520E-01  4.6091E+03  0.0000E+00  3.9873E+01  1.5317E+00  6.3941E-01
   1.2000E+01  1.0000E+04  7.9626E-01  5.3093E+03  0.0000E+00  3.9711E+01  1.4155E+00  5.7313E-01
   1.2000E+01  1.1000E+04  1.1264E+00  6.2545E+03  0.0000E+00  3.9338E+01  1.3139E+00  5.1614E-01
   1.2000E+01  1.2000E+04  1.6868E+00  7.6390E+03  0.0000E+00  3.8612E+01  1.2469E+00  4.6440E-01
   1.2000E+01  1.3000E+04  2.5415E+00  9.7267E+03  0.0000E+00  3.7380E+01  1.2095E+00  4.1499E-01
   1.2000E+01  1.4000E+04  3.7163E+00  1.2830E+04  0.0000E+00  3.5540E+01  1.1909E+00  3.6638E-01
   1.2000E+01  1.5000E+04  5.1330E+00  1.7242E+04  0.0000E+00  3.3121E+01  1.1839E+00  3.1868E-01
   1.2000E+01  1.6000E+04  6.5122E+00  2.3086E+04  0.0000E+00  3.0336E+01  1.1843E+00  2.7364E-01
   1.2000E+01  1.7000E+04  7.3544E+00  3.0087E+04  0.0000E+00  2.7556E+01  1.1906E+00  2.3394E-01
   1.2000E+01  1.8000E+04  7.2231E+00  3.7464E+04  0.0000E+00  2.5157E+01  1.2028E+00  2.0172E-01
   1.2000E+01  1.9000E+04  6.1969E+00  4.4229E+04  0.0000E+00  2.3348E+01  1.2217E+00  1.7735E-01
   1.3000E+01  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  6.2460E+00
   1.3000E+01  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  3.1230E+00
   1.3000E+01  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  2.0820E+00
   1.3000E+01  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.5615E+00
   1.3000E+01  5.0000E+03  5.2037E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  1.2492E+00
   1.3000E+01  6.0000E+03  5.2110E-01  2.9671E+03  0.0000E+00  3.9948E+01  1.6653E+00  1.0410E+00
   1.3000E+01  7.0000E+03  5.2655E-01  3.4908E+03  0.0000E+00  3.9945E+01  1.6559E+00  8.9222E-01
   1.3000E+01  8.0000E+03  5.4949E-01  4.0262E+03  0.0000E+00  3.9930E+01  1.6206E+00  7.8041E-01
   1.3000E+01  9.0000E+03  6.2112E-01  4.6059E+03  0.0000E+00  3.9876E+01  1.5358E+00  6.9274E-01
   1.3000E+01  1.0000E+04  7.8554E-01  5.2992E+03  0.0000E+00  3.9720E+01  1.4210E+00  6.2103E-01
   1.3000E+01  1.1000E+04  1.1029E+00  6.2278E+03  0.0000E+00  3.9362E+01  1.3190E+00  5.5949E-01
   1.3000E+01  1.2000E+04  1.6417E+00  7.5788E+03  0.0000E+00  3.8663E+01  1.2508E+00  5.0376E-01
   1.3000E+01  1.3000E+04  2.4643E+00  9.6061E+03  0.0000E+00  3.7474E+01  1.2121E+00  4.5071E-01
   1.3000E+01  1.4000E+04  3.5982E+00  1.2612E+04  0.0000E+00  3.5692E+01  1.1927E+00  3.9862E-01
   1.3000E+01  1.5000E+04  4.9767E+00  1.6886E+04  0.0000E+00  3.3335E+01  1.1849E+00  3.4747E-01
   1.3000E+01  1.6000E+04  6.3476E+00  2.2566E+04  0.0000E+00  3.0597E+01  1.1848E+00  2.9900E-01
   1.3000E+01  1.7000E+04  7.2438E+00  2.9423E+04  0.0000E+00  2.7829E+01  1.1906E+00  2.5595E-01
   1.3000E+01  1.8000E+04  7.2219E+00  3.6742E+04  0.0000E+00  2.5404E+01  1.2021E+00  2.2067E-01
   1.3000E+01  1.9000E+04  6.2964E+00  4.3560E+04  0.0000E+00  2.3543E+01  1.2201E+00  1.9374E-01
   1.4000E+01  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  6.7265E+00
   1.4000E+01  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  3.3632E+00
   1.4000E+01  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  2.2422E+00
   1.4000E+01  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.6816E+00
   1.4000E+01  5.0000E+03  5.2037E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  1.3453E+00
   1.4000E+01  6.0000E+03  5.2107E-01  2.9671E+03  0.0000E+00  3.9948E+01  1.6653E+00  1.1211E+00
   1.4000E+01  7.0000E+03  5.2632E-01  3.4907E+03  0.0000E+00  3.9945E+01  1.6563E+00  9.6086E-01
   1.4000E+01  8.0000E+03  5.4841E-01  4.0255E+03  0.0000E+00  3.9931E+01  1.6222E+00  8.4045E-01
   1.4000E+01  9.0000E+03  6.1749E-01  4.6030E+03  0.0000E+00  3.9878E+01  1.5394E+00  7.4608E-01
   1.4000E+01  1.0000E+04  7.7599E-01  5.2901E+03  0.0000E+00  3.9728E+01  1.4261E+00  6.6895E-01
   1.4000E+01  1.1000E+04  1.0819E+00  6.2041E+03  0.0000E+00  3.9383E+01  1.3238E+00  6.0285E-01
   1.4000E+01  1.2000E+04  1.6014E+00  7.5252E+03  0.0000E+00  3.8708E+01  1.2544E+00  5.4314E-01
   1.4000E+01  1.3000E+04  2.3954E+00  9.4987E+03  0.0000E+00  3.7558E+01  1.2146E+00  4.8647E-01
   1.4000E+01  1.4000E+04  3.4925E+00  1.2418E+04  0.0000E+00  3.5829E+01  1.1943E+00  4.3093E-01
   1.4000E+01  1.5000E+04  4.8355E+00  1.6568E+04  0.0000E+00  3.3529E+01  1.1859E+00  3.7638E-01
   1.4000E+01  1.6000E+04  6.1954E+00  2.2097E+04  0.0000E+00  3.0836E+01  1.1853E+00  3.2452E-01
   1.4000E+01  1.7000E+04  7.1348E+00  2.8819E+04  0.0000E+00  2.8083E+01  1.1906E+00  2.7816E-01
   1.4000E+01  1.8000E+04  7.2089E+00  3.6073E+04  0.0000E+00  2.5636E+01  1.2015E+00  2.3981E-01
   1.4000E+01  1.9000E+04  6.3788E+00  4.2929E+04  0.0000E+00  2.3730E+01  1.2188E+00  2.1030E-01
   1.5000E+01  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  7.2069E+00
   1.5000E+01  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  3.6035E+00
   1.5000E+01  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  2.4023E+00
   1.5000E+01  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.8017E+00
   1.5000E+01  5.0000E+03  5.2037E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  1.4414E+00
   1.5000E+01  6.0000E+03  5.2105E-01  2.9671E+03  0.0000E+00  3.9948E+01  1.6654E+00  1.2011E+00
   1.5000E+01  7.0000E+03  5.2612E-01  3.4906E+03  0.0000E+00  3.9945E+01  1.6566E+00  1.0295E+00
   1.5000E+01  8.0000E+03  5.4744E-01  4.0249E+03  0.0000E+00  3.9932E+01  1.6237E+00  9.0050E-01
   1.5000E+01  9.0000E+03  6.1422E-01  4.6005E+03  0.0000E+00  3.9881E+01  1.5428E+00  7.9942E-01
   1.5000E+01  1.0000E+04  7.6741E-01  5.2820E+03  0.0000E+00  3.9736E+01  1.4307E+00  7.1686E-01
   1.5000E+01  1.1000E+04  1.0630E+00  6.1827E+03  0.0000E+00  3.9402E+01  1.3282E+00  6.4622E-01
   1.5000E+01  1.2000E+04  1.5653E+00  7.4770E+03  0.0000E+00  3.8749E+01  1.2578E+00  5.8255E-01
   1.5000E+01  1.3000E+04  2.3334E+00  9.4021E+03  0.0000E+00  3.7634E+01  1.2169E+00  5.2227E-01
   1.5000E+01  1.4000E+04  3.3971E+00  1.2243E+04  0.0000E+00  3.5953E+01  1.1959E+00  4.6331E-01
   1.5000E+01  1.5000E+04  4.7070E+00  1.6280E+04  0.0000E+00  3.3707E+01  1.1869E+00  4.0540E-01
   1.5000E+01  1.6000E+04  6.0543E+00  2.1672E+04  0.0000E+00  3.1057E+01  1.1858E+00  3.5018E-01
   1.5000E+01  1.7000E+04  7.0282E+00  2.8265E+04  0.0000E+00  2.8320E+01  1.1907E+00  3.0053E-01
   1.5000E+01  1.8000E+04  7.1868E+00  3.5452E+04  0.0000E+00  2.5856E+01  1.2011E+00  2.5914E-01
   1.5000E+01  1.9000E+04  6.4466E+00  4.2333E+04  0.0000E+00  2.3910E+01  1.2177E+00  2.2703E-01
   1.6000E+01  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  7.6874E+00
   1.6000E+01  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  3.8437E+00
   1.6000E+01  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  2.5625E+00
   1.6000E+01  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.9218E+00
   1.6000E+01  5.0000E+03  5.2037E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  1.5375E+00
   1.6000E+01  6.0000E+03  5.2102E-01  2.9671E+03  0.0000E+00  3.9948E+01  1.6654E+00  1.2812E+00
   1.6000E+01  7.0000E+03  5.2593E-01  3.4905E+03  0.0000E+00  3.9945E+01  1.6569E+00  1.0981E+00
   1.6000E+01  8.0000E+03  5.4656E-01  4.0244E+03  0.0000E+00  3.9932E+01  1.6250E+00  9.6054E-01
   1.6000E+01  9.0000E+03  6.1127E-01  4.5982E+03  0.0000E+00  3.9883E+01  1.5459E+00  8.5276E-01
   1.6000E+01  1.0000E+04  7.5965E-01  5.2746E+03  0.0000E+00  3.9742E+01  1.4351E+00  7.6478E-01
   1.6000E+01  1.1000E+04  1.0460E+00  6.1634E+03  0.0000E+00  3.9419E+01  1.3324E+00  6.8960E-01
   1.6000E+01  1.2000E+04  1.5325E+00  7.4334E+03  0.0000E+00  3.8786E+01  1.2610E+00  6.2198E-01
   1.6000E+01  1.3000E+04  2.2772E+00  9.3148E+03  0.0000E+00  3.7704E+01  1.2192E+00  5.5811E-01
   1.6000E+01  1.4000E+04  3.3105E+00  1.2085E+04  0.0000E+00  3.6067E+01  1.1974E+00  4.9575E-01
   1.6000E+01  1.5000E+04  4.5896E+00  1.6019E+04  0.0000E+00  3.3869E+01  1.1879E+00  4.3451E-01
   1.6000E+01  1.6000E+04  5.9230E+00  2.1284E+04  0.0000E+00  3.1260E+01  1.1863E+00  3.7597E-01
   1.6000E+01  1.7000E+04  6.9246E+00  2.7756E+04  0.0000E+00  2.8541E+01  1.1907E+00  3.2307E-01
   1.6000E+01  1.8000E+04  7.1579E+00  3.4874E+04  0.0000E+00  2.6064E+01  1.2007E+00  2.7865E-01
   1.6000E+01  1.9000E+04  6.5020E+00  4.1769E+04  0.0000E+00  2.4083E+01  1.2166E+00  2.4391E-01
   1.7000E+01  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  8.1678E+00
   1.7000E+01  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  4.0839E+00
   1.7000E+01  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  2.7226E+00
   1.7000E+01  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  2.0420E+00
   1.7000E+01  5.0000E+03  5.2037E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  1.6336E+00
   1.7000E+01  6.0000E+03  5.2100E-01  2.9671E+03  0.0000E+00  3.9948E+01  1.6655E+00  1.3613E+00
   1.7000E+01  7.0000E+03  5.2576E-01  3.4905E+03  0.0000E+00  3.9945E+01  1.6572E+00  1.1668E+00
   1.7000E+01  8.0000E+03  5.4576E-01  4.0239E+03  0.0000E+00  3.9933E+01  1.6261E+00  1.0206E+00
   1.7000E+01  9.0000E+03  6.0858E-01  4.5961E+03  0.0000E+00  3.9885E+01  1.5487E+00  9.0610E-01
   1.7000E+01  1.0000E+04  7.5258E-01  5.2679E+03  0.0000E+00  3.9748E+01  1.4391E+00  8.1270E-01
   1.7000E+01  1.1000E+04  1.0304E+00  6.1458E+03  0.0000E+00  3.9435E+01  1.3364E+00  7.3299E-01
   1.7000E+01  1.2000E+04  1.5027E+00  7.3936E+03  0.0000E+00  3.8820E+01  1.2641E+00  6.6143E-01
   1.7000E+01  1.3000E+04  2.2260E+00  9.2352E+03  0.0000E+00  3.7767E+01  1.2214E+00  5.9399E-01
   1.7000E+01  1.4000E+04  3.2314E+00  1.1940E+04  0.0000E+00  3.6170E+01  1.1988E+00  5.2825E-01
   1.7000E+01  1.5000E+04  4.4817E+00  1.5781E+04  0.0000E+00  3.4019E+01  1.1888E+00  4.6371E-01
   1.7000E+01  1.6000E+04  5.8005E+00  2.0929E+04  0.0000E+00  3.1449E+01  1.1868E+00  4.0189E-01
   1.7000E+01  1.7000E+04  6.8243E+00  2.7285E+04  0.0000E+00  2.8748E+01  1.1909E+00  3.4576E-01
   1.7000E+01  1.8000E+04  7.1236E+00  3.4333E+04  0.0000E+00  2.6262E+01  1.2004E+00  2.9831E-01
   1.7000E+01  1.9000E+04  6.5469E+00  4.1234E+04  0.0000E+00  2.4249E+01  1.2157E+00  2.6094E-01
   1.8000E+01  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  8.6483E+00
   1.8000E+01  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  4.3242E+00
   1.8000E+01  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  2.8828E+00
   1.8000E+01  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  2.1621E+00
   1.8000E+01  5.0000E+03  5.2037E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  1.7297E+00
   1.8000E+01  6.0000E+03  5.2098E-01  2.9671E+03  0.0000E+00  3.9948E+01  1.6655E+00  1.4414E+00
   1.8000E+01  7.0000E+03  5.2561E-01  3.4904E+03  0.0000E+00  3.9946E+01  1.6575E+00  1.2354E+00
   1.8000E+01  8.0000E+03  5.4502E-01  4.0234E+03  0.0000E+00  3.9933E+01  1.6272E+00  1.0806E+00
   1.8000E+01  9.0000E+03  6.0612E-01  4.5942E+03  0.0000E+00  3.9886E+01  1.5513E+00  9.5944E-01
   1.8000E+01  1.0000E+04  7.4611E-01  5.2618E+03  0.0000E+00  3.9754E+01  1.4430E+00  8.6063E-01
   1.8000E+01  1.1000E+04  1.0162E+00  6.1297E+03  0.0000E+00  3.9449E+01  1.3402E+00  7.7639E-01
   1.8000E+01  1.2000E+04  1.4754E+00  7.3573E+03  0.0000E+00  3.8850E+01  1.2671E+00  7.0089E-01
   1.8000E+01  1.3000E+04  2.1791E+00  9.1623E+03  0.0000E+00  3.7825E+01  1.2235E+00  6.2989E-01
   1.8000E+01  1.4000E+04  3.1588E+00  1.1808E+04  0.0000E+00  3.6266E+01  1.2002E+00  5.6080E-01
   1.8000E+01  1.5000E+04  4.3820E+00  1.5563E+04  0.0000E+00  3.4158E+01  1.1897E+00  4.9298E-01
   1.8000E+01  1.6000E+04  5.6860E+00  2.0601E+04  0.0000E+00  3.1626E+01  1.1873E+00  4.2791E-01
   1.8000E+01  1.7000E+04  6.7273E+00  2.6848E+04  0.0000E+00  2.8943E+01  1.1910E+00  3.6858E-01
   1.8000E+01  1.8000E+04  7.0854E+00  3.3825E+04  0.0000E+00  2.6450E+01  1.2001E+00  3.1812E-01
   1.8000E+01  1.9000E+04  6.5826E+00  4.0726E+04  0.0000E+00  2.4408E+01  1.2149E+00  2.7811E-01
   1.9000E+01  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  9.1288E+00
   1.9000E+01  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  4.5644E+00
   1.9000E+01  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  3.0429E+00
   1.9000E+01  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  2.2822E+00
   1.9000E+01  5.0000E+03  5.2037E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  1.8258E+00
   1.9000E+01  6.0000E+03  5.2097E-01  2.9671E+03  0.0000E+00  3.9948E+01  1.6655E+00  1.5215E+00
   1.9000E+01  7.0000E+03  5.2547E-01  3.4903E+03  0.0000E+00  3.9946E+01  1.6577E+00  1.3040E+00
   1.9000E+01  8.0000E+03  5.4435E-01  4.0230E+03  0.0000E+00  3.9934E+01  1.6282E+00  1.1407E+00
   1.9000E+01  9.0000E+03  6.0385E-01  4.5924E+03  0.0000E+00  3.9888E+01  1.5537E+00  1.0128E+00
   1.9000E+01  1.0000E+04  7.4016E-01  5.2561E+03  0.0000E+00  3.9759E+01  1.4465E+00  9.0856E-01
   1.9000E+01  1.1000E+04  1.0031E+00  6.1149E+03  0.0000E+00  3.9462E+01  1.3437E+00  8.1979E-01
   1.9000E+01  1.2000E+04  1.4503E+00  7.3239E+03  0.0000E+00  3.8879E+01  1.2699E+00  7.4037E-01
   1.9000E+01  1.3000E+04  2.1360E+00  9.0953E+03  0.0000E+00  3.7878E+01  1.2255E+00  6.6583E-01
   1.9000E+01  1.4000E+04  3.0918E+00  1.1686E+04  0.0000E+00  3.6355E+01  1.2016E+00  5.9340E-01
   1.9000E+01  1.5000E+04  4.2897E+00  1.5361E+04  0.0000E+00  3.4287E+01  1.1905E+00  5.2234E-01
   1.9000E+01  1.6000E+04  5.5785E+00  2.0298E+04  0.0000E+00  3.1790E+01  1.1878E+00  4.5404E-01
   1.9000E+01  1.7000E+04  6.6338E+00  2.6441E+04  0.0000E+00  2.9127E+01  1.1911E+00  3.9153E-01
   1.9000E+01  1.8000E+04  7.0440E+00  3.3348E+04  0.0000E+00  2.6629E+01  1.1998E+00  3.3807E-01
   1.9000E+01  1.9000E+04  6.6106E+00  4.0243E+04  0.0000E+00  2.4562E+01  1.2142E+00  2.9542E-01
   2.0000E+01  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  9.6092E+00
   2.0000E+01  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  4.8046E+00
   2.0000E+01  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  3.2031E+00
   2.0000E+01  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  2.4023E+00
   2.0000E+01  5.0000E+03  5.2037E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  1.9218E+00
   2.0000E+01  6.0000E+03  5.2050E-01  2.9669E+03  0.0000E+00  3.9948E+01  1.6664E+00  1.6015E+00
   2.0000E+01  7.0000E+03  5.2534E-01  3.4903E+03  0.0000E+00  3.9946E+01  1.6579E+00  1.3727E+00
   2.0000E+01  8.0000E+03  5.4373E-01  4.0226E+03  0.0000E+00  3.9934E+01  1.6292E+00  1.2007E+00
   2.0000E+01  9.0000E+03  6.0176E-01  4.5908E+03  0.0000E+00  3.9890E+01  1.5560E+00  1.0661E+00
   2.0000E+01  1.0000E+04  7.3466E-01  5.2509E+03  0.0000E+00  3.9764E+01  1.4499E+00  9.5650E-01
   2.0000E+01  1.1000E+04  9.9106E-01  6.1012E+03  0.0000E+00  3.9474E+01  1.3471E+00  8.6321E-01
   2.0000E+01  1.2000E+04  1.4271E+00  7.2929E+03  0.0000E+00  3.8905E+01  1.2726E+00  7.7987E-01
   2.0000E+01  1.3000E+04  2.0960E+00  9.0333E+03  0.0000E+00  3.7928E+01  1.2274E+00  7.0179E-01
   2.0000E+01  1.4000E+04  3.0298E+00  1.1574E+04  0.0000E+00  3.6437E+01  1.2029E+00  6.2604E-01
   2.0000E+01  1.5000E+04  4.2038E+00  1.5174E+04  0.0000E+00  3.4407E+01  1.1914E+00  5.5175E-01
   2.0000E+01  1.6000E+04  5.4776E+00  2.0017E+04  0.0000E+00  3.1945E+01  1.1883E+00  4.8026E-01
   2.0000E+01  1.7000E+04  6.5436E+00  2.6062E+04  0.0000E+00  2.9301E+01  1.1913E+00  4.1460E-01
   2.0000E+01  1.8000E+04  7.0005E+00  3.2899E+04  0.0000E+00  2.6800E+01  1.1996E+00  3.5815E-01
   2.0000E+01  1.9000E+04  6.6318E+00  3.9782E+04  0.0000E+00  2.4711E+01  1.2136E+00  3.1285E-01
   2.5000E+01  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  1.2012E+01
   2.5000E+01  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  6.0058E+00
   2.5000E+01  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  4.0038E+00
   2.5000E+01  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  3.0029E+00
   2.5000E+01  5.0000E+03  5.2036E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  2.4023E+00
   2.5000E+01  6.0000E+03  5.2049E-01  2.9669E+03  0.0000E+00  3.9948E+01  1.6664E+00  2.0019E+00
   2.5000E+01  7.0000E+03  5.2481E-01  3.4900E+03  0.0000E+00  3.9946E+01  1.6589E+00  1.7158E+00
   2.5000E+01  8.0000E+03  5.4120E-01  4.0210E+03  0.0000E+00  3.9935E+01  1.6330E+00  1.5010E+00
   2.5000E+01  9.0000E+03  5.9326E-01  4.5842E+03  0.0000E+00  3.9896E+01  1.5655E+00  1.3329E+00
   2.5000E+01  1.0000E+04  7.1231E-01  5.2297E+03  0.0000E+00  3.9783E+01  1.4643E+00  1.1962E+00
   2.5000E+01  1.1000E+04  9.4193E-01  6.0456E+03  0.0000E+00  3.9524E+01  1.3621E+00  1.0804E+00
   2.5000E+01  1.2000E+04  1.3328E+00  7.1673E+03  0.0000E+00  3.9013E+01  1.2848E+00  9.7753E-01
   2.5000E+01  1.3000E+04  1.9335E+00  8.7813E+03  0.0000E+00  3.8131E+01  1.2362E+00  8.8194E-01
   2.5000E+01  1.4000E+04  2.7763E+00  1.1116E+04  0.0000E+00  3.6775E+01  1.2089E+00  7.8983E-01
   2.5000E+01  1.5000E+04  3.8494E+00  1.4412E+04  0.0000E+00  3.4907E+01  1.1953E+00  6.9971E-01
   2.5000E+01  1.6000E+04  5.0508E+00  1.8859E+04  0.0000E+00  3.2598E+01  1.1905E+00  6.1259E-01
   2.5000E+01  1.7000E+04  6.1402E+00  2.4477E+04  0.0000E+00  3.0050E+01  1.1921E+00  5.3150E-01
   2.5000E+01  1.8000E+04  6.7665E+00  3.0984E+04  0.0000E+00  2.7555E+01  1.1990E+00  4.6029E-01
   2.5000E+01  1.9000E+04  6.6640E+00  3.7763E+04  0.0000E+00  2.5384E+01  1.2112E+00  4.0171E-01

