Relative Time,Date,Time Stamp UTC,Volt,Volt,Volt,Volt,Chn 1 Events
0.6,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.001220703,0.000305176,
0.61,2023-07-21,6:32:33 PM,0.629882813,0.000305176,-0.001220703,0.000305176,
0.62,2023-07-21,6:32:33 PM,0.630187988,0.000305176,-0.001220703,0.000305176,
0.63,2023-07-21,6:32:33 PM,0.629882813,0.000305176,-0.001220703,0.000305176,
0.64,2023-07-21,6:32:33 PM,0.629272461,0.000305176,-0.001220703,0.000305176,
0.65,2023-07-21,6:32:33 PM,0.629272461,0.000305176,-0.001220703,0.000305176,
0.66,2023-07-21,6:32:33 PM,0.629272461,0.000305176,-0.001220703,0.000305176,
0.67,2023-07-21,6:32:33 PM,0.629272461,0.000305176,-0.001220703,0.000305176,
0.68,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.001220703,0.000305176,
0.69,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.001220703,0.000305176,
0.7,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.001220703,0.000305176,
0.71,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.001220703,0.000305176,
0.72,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.001220703,0.000305176,
0.73,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.001220703,0.000305176,
0.74,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.001220703,0.000305176,
0.75,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.001220703,0.000305176,
0.76,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.001220703,0.000305176,
0.77,2023-07-21,6:32:33 PM,0.629272461,0.000305176,-0.001220703,0.000305176,
0.78,2023-07-21,6:32:33 PM,0.629272461,0.000305176,-0.001220703,0.000305176,
0.79,2023-07-21,6:32:33 PM,0.629272461,0.000305176,-0.001220703,0,
0.8,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.001220703,0,
0.81,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.001220703,0,
0.82,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.001220703,0,
0.83,2023-07-21,6:32:33 PM,0.629882813,0.000305176,-0.001220703,0,
0.84,2023-07-21,6:32:33 PM,0.629882813,0.000305176,-0.001220703,0,
0.85,2023-07-21,6:32:33 PM,0.630187988,0.000305176,-0.001220703,0,
0.86,2023-07-21,6:32:33 PM,0.629882813,0.000305176,-0.000915527,0,
0.87,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.000915527,0,
0.88,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.000915527,0,
0.89,2023-07-21,6:32:33 PM,0.629577637,0.000305176,-0.000915527,0,
0.9,2023-07-21,6:32:33 PM,0.631103516,0.000305176,-0.001220703,0.000305176,
0.91,2023-07-21,6:32:33 PM,0.648193359,0.000305176,-0.001220703,0,
0.92,2023-07-21,6:32:33 PM,0.716552734,0.000305176,-0.001220703,0,
0.93,2023-07-21,6:32:33 PM,0.856018066,0.000305176,-0.001220703,0,
0.94,2023-07-21,6:32:33 PM,1.012878418,0.000305176,-0.001220703,0,
0.95,2023-07-21,6:32:33 PM,1.11114502,0.000305176,-0.001220703,0,
0.96,2023-07-21,6:32:33 PM,1.139831543,0.000305176,-0.001220703,0,
0.97,2023-07-21,6:32:33 PM,1.141052246,0.000305176,-0.001220703,0,
0.98,2023-07-21,6:32:33 PM,1.139831543,0.000305176,-0.001220703,0,
0.99,2023-07-21,6:32:33 PM,1.137084961,0.000305176,-0.001220703,0.000305176,
1,2023-07-21,6:32:34 PM,1.132507324,0.000610352,-0.001220703,0.000305176,
1.01,2023-07-21,6:32:34 PM,1.129760742,0.000610352,-0.001220703,0.000305176,
1.02,2023-07-21,6:32:34 PM,1.130065918,0.000305176,-0.001220703,0.000305176,
1.03,2023-07-21,6:32:34 PM,1.130981445,0.000305176,-0.001220703,0.000305176,
1.04,2023-07-21,6:32:34 PM,1.129150391,0.000305176,-0.001220703,0.000305176,
1.05,2023-07-21,6:32:34 PM,1.126403809,0.000305176,-0.001220703,0.000305176,
1.06,2023-07-21,6:32:34 PM,1.124572754,0.000305176,-0.001220703,0.000305176,
1.07,2023-07-21,6:32:34 PM,1.123962402,0.000305176,-0.000915527,0.000305176,
