,Intensity,Air Wavelength (Å),Spectrum,Reference
207,20,8987.57,Xe I,HM33
208,40,9045.45,Xe I,HM33
209,50,9162.65,Xe I,HM33
210,10,9167.52,Xe I,HM33
211,10,9374.76,Xe I,HM33
212,20,9513.38,Xe I,HM33
213,15,9591.35,Xe II,H39
214,15,9685.32,Xe I,HM33
215,15,9698.68,Xe II,H39
216,10,9718.16,Xe I,HM33
217,200,9799.7,Xe I,HP70b
218,300,9923.19,Xe I,HP70b
219,10,10838.37,Xe I,HM33
220,9,11742.01,Xe I,H73
221,40,12235.24,Xe I,H73
222,10,12257.76,Xe I,H73
223,30,12590.2,Xe I,H73
224,250,12623.399,Xe I,HP70b
225,25,13544.15,Xe I,H73
226,200,13657.06,Xe I,H73
227,120,14142.44,Xe I,H73
228,80,14240.96,Xe I,H73
229,40,14364.99,Xe I,H73
230,14,14660.81,Xe I,H73
231,300,14732.816,Xe I,HP70b
232,10,15099.72,Xe I,H73
233,250,15418.39,Xe I,H73
234,15,15557.13,Xe I,H73
235,25,15979.54,Xe I,H73
236,10,16039.9,Xe I,H73
237,100,16053.28,Xe I,H73
238,12,16554.49,Xe I,H73
239,150,16728.15,Xe I,H73
240,150,17325.77,Xe I,H73
241,40,18788.13,Xe I,H73
242,15,20187.19,Xe I,H73
243,300,20262.24,Xe I,H73
244,25,21470.09,Xe I,H73
245,120,23193.33,Xe I,H73
246,11,23279.54,Xe I,H73
247,200,24824.71,Xe I,H73
248,20,25145.84,Xe I,H73
249,200,26269.08,Xe I,H73
250,250,26510.86,Xe I,H73
251,25,28381.54,Xe I,H73
252,80,28582.25,Xe I,H73
253,30,29384.41,Xe I,H73
254,15,29448.06,Xe I,H73
255,10,29649.58,Xe I,H73
256,10,29813.62,Xe I,H73
257,60,30253.14,Xe I,H73
258,150,30475.46,Xe I,H73
259,10,30504.12,Xe I,H73
260,50,30794.18,Xe I,H73
261,600,31069.23,Xe I,HP70b
262,12,31336.01,Xe I,H73
263,60,31607.91,Xe I,H73
264,10,32293.08,Xe I,H73
265,200,32739.26,Xe I,H73
266,400,33666.69,Xe I,H73
267,15,34014.67,Xe I,H73
268,40,34335.27,Xe I,H73
269,15,34744.0,Xe I,H73
270,500,35070.26,Xe I,HP70b
271,11,35246.92,Xe I,H73
272,25,36209.21,Xe I,H73
273,15,36231.74,Xe I,H73
274,40,36508.36,Xe I,H73
275,80,36788.83,Xe I,H73
276,14,38685.98,Xe I,H73
277,20,38737.82,Xe I,H73
278,25,38939.6,Xe I,H73
279,12,39955.14,Xe I,H73
